d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:45:47.577756990,a83894b2184e57e722b73e2ffef16f2efa69307f409232ca36a02fe03bca2553,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391549.51375699,1.936,391547.57775699004,2021-02-04 12:45:47.577756990,91,47568
2021-02-04 12:48:00.022023068,f7bfe5bc8d2a37a5c15986fbfc2c477a746e866adcb9663f9df7535b61c3eb9b,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391680.162023068,0.14,391680.022023068,2021-02-04 12:48:00.022023068,92,132444
2021-02-04 12:49:00.648447050,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391741.05944705,0.411,391740.64844704996,2021-02-04 12:49:00.648447050,93,60626
2021-02-04 12:50:00.015874059,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391803.83287406,3.817,391800.01587406005,2021-02-04 12:50:00.015874059,94,59367
2021-02-04 12:50:26.252582008,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391834.595582008,8.343,391826.252582008,2021-02-04 12:50:26.252582008,95,26237
2021-02-04 12:50:51.799445110,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391852.16844511,0.369,391851.79944510997,2021-02-04 12:50:51.799445110,96,25547
2021-02-04 12:52:43.388733067,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391963.774733067,0.386,391963.388733067,2021-02-04 12:52:43.388733067,97,111589
2021-02-04 12:55:00.014619011,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,392100.670619011,0.656,392100.01461901097,2021-02-04 12:55:00.014619011,98,136626
2021-02-04 12:56:35.283589104,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,392195.655589104,0.372,392195.283589104,2021-02-04 12:56:35.283589104,99,95269
2021-02-04 12:58:17.129229050,4fd9ef036fda3832e6bb4e57f1cc1395c248edddda334ef8aede099536a5bae3,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,392297.27422905,0.145,392297.12922904996,2021-02-04 12:58:17.129229050,100,101846
2021-02-04 12:59:57.701359026,c8c43e1a911f29e5506460a2fbef61ff39723d672f3b3b67d12d4c236c6872f7,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,392400.734359026,3.033,392397.701359026,2021-02-04 12:59:57.701359026,101,100572
