sno,Unnamed: 0,wait
930,9300,7905
931,9310,7470
932,9320,7261
933,9330,7348
934,9340,8094
935,9350,7847
936,9360,8152
937,9370,8318
938,9380,8191
939,9390,5258
940,9400,3472
941,9410,3910
942,9420,4460
943,9430,6753
944,9440,2378
945,9450,6579
946,9460,6774
947,9470,7648
948,9480,7215
949,9490,6704
950,9500,6042
951,9510,6818
952,9520,1899
953,9530,6568
954,9540,8093
955,9550,8032
956,9560,7960
957,9570,7795
958,9580,7404
959,9590,7117
960,9600,6779
961,9610,6455
962,9620,7480
963,9630,7928
964,9640,7366
965,9650,8005
966,9660,6708
967,9670,3848
968,9680,3251
969,9690,3640
970,9700,5029
971,9710,3101
972,9720,2710
973,9730,3333
974,9740,4338
975,9750,3211
976,9760,5476
977,9770,3298
978,9780,3189
979,9790,2826
980,9800,2931
981,9810,2407
982,9820,2933
983,9830,3467
984,9840,2803
985,9850,4655
986,9860,3911
987,9870,2756
988,9880,3974
989,9890,6110
990,9900,4947
991,9910,3652
992,9920,5705
993,9930,3726
994,9940,3292
995,9950,3672
996,9960,6008
997,9970,2661
998,9980,2593
999,9990,6599
1000,10000,7048
1001,10010,7273
1002,10020,7363
1003,10030,7821
1004,10040,7934
1005,10050,7307
1006,10060,6861
1007,10070,6872
1008,10080,7571
1009,10090,7305
1010,10100,7460
1011,10110,7717
1012,10120,7652
1013,10130,7258
1014,10140,6905
1015,10150,7725
1016,10160,7571
1017,10170,7646
1018,10180,8410
1019,10190,8191
1020,10200,1936
1021,10210,5725
1022,10220,7321
1023,10230,8364
1024,10240,7394
1025,10250,3088
1026,10260,6232
1027,10270,6666
1028,10280,8244
1029,10290,8101
1030,10300,8136
1031,10310,7517
1032,10320,6758
1033,10330,7463
1034,10340,7754
1035,10350,8024
1036,10360,7593
1037,10370,6919
1038,10380,7852
1039,10390,7519
1040,10400,7864
1041,10410,7775
1042,10420,8083
1043,10430,8782
1044,10440,8519
1045,10450,2991
1046,10460,6893
1047,10470,3451
1048,10480,2364
1049,10490,3651
1050,10500,3594
1051,10510,4948
1052,10520,3654
1053,10530,3929
1054,10540,4131
1055,10550,5018
1056,10560,3401
1057,10570,4971
1058,10580,7363
1059,10590,7292
1060,10600,6051
1061,10610,7673
1062,10620,8887
1063,10630,8161
1064,10640,7741
1065,10650,8163
1066,10660,8175
1067,10670,7081
1068,10680,7137
1069,10690,7093
1070,10700,8103
1071,10710,8072
1072,10720,8540
1073,10730,8291
1074,10740,8595
1075,10750,6967
1076,10760,6966
1077,10770,8244
1078,10780,7670
1079,10790,7224
1080,10800,7054
1081,10810,7809
1082,10820,7933
1083,10830,8345
1084,10840,8014
1085,10850,8382
1086,10860,8015
1087,10870,7370
1088,10880,7576
1089,10890,7701
1090,10900,7753
1091,10910,8132
1092,10920,7770
1093,10930,8142
1094,10940,8262
1095,10950,1602
1096,10960,7589
1097,10970,7207
1098,10980,3393
1099,10990,1790
1100,11000,6163
1101,11010,7276
1102,11020,7568
1103,11030,7551
1104,11040,2248
1105,11050,3181
1106,11060,6136
1107,11070,3497
1108,11080,7397
1109,11090,7224
1110,11100,8046
1111,11110,7569
1112,11120,7199
1113,11130,7389
1114,11140,7386
1115,11150,8092
1116,11160,8383
1117,11170,8262
1118,11180,7265
1119,11190,7589
1120,11200,8304
1121,11210,2945
1122,11220,7153
1123,11230,7673
1124,11240,7095
1125,11250,7743
1126,11260,8056
1127,11270,7419
1128,11280,8299
1129,11290,8512
1130,11300,8047
1131,11310,8414
1132,11320,8846
1133,11330,7992
1134,11340,7926
1135,11350,8339
1136,11360,8793
1137,11370,8325
1138,11380,5758
1139,11390,4174
1140,11400,5852
1141,11410,7246
1142,11420,8468
1143,11430,7740
1144,11440,7057
1145,11450,7874
1146,11460,8792
1147,11470,1469
1148,11480,7012
1149,11490,4775
1150,11500,2940
1151,11510,2754
1152,11520,1841
1153,11530,2245
1154,11540,2378
1155,11550,6393
1156,11560,2606
1157,11570,4329
1158,11580,2456
1159,11590,3169
1160,11600,1918
1161,11610,3082
1162,11620,3716
1163,11630,1576
1164,11640,3973
1165,11650,2813
1166,11660,3348
1167,11670,7006
1168,11680,7403
1169,11690,8264
1170,11700,7969
1171,11710,7288
1172,11720,7592
1173,11730,7788
1174,11740,8481
1175,11750,8533
1176,11760,8347
1177,11770,7778
1178,11780,7609
1179,11790,7705
1180,11800,8016
1181,11810,7250
1182,11820,8424
1183,11830,8197
1184,11840,7362
1185,11850,7826
1186,11860,7902
1187,11870,7279
1188,11880,7877
1189,11890,7139
1190,11900,5433
1191,11910,6723
1192,11920,8051
1193,11930,8255
1194,11940,7273
1195,11950,7830
1196,11960,8206
1197,11970,7956
1198,11980,8447
1199,11990,8531
1200,12000,8470
1201,12010,7326
1202,12020,6981
1203,12030,7584
1204,12040,7831
1205,12050,7597
1206,12060,7879
1207,12070,6943
1208,12080,7773
1209,12090,7962
1210,12100,8009
1211,12110,7467
1212,12120,6783
1213,12130,7491
1214,12140,4378
1215,12150,6626
1216,12160,6788
1217,12170,7552
1218,12180,7347
1219,12190,7959
1220,12200,7222
1221,12210,7556
1222,12220,7550
1223,12230,7738
1224,12240,6951
1225,12250,7488
1226,12260,7939
1227,12270,7596
1228,12280,5602
1229,12290,6880
1230,12300,5903
1231,12310,3744
1232,12320,3586
1233,12330,2513
1234,12340,1881
1235,12350,5923
1236,12360,7214
1237,12370,8105
1238,12380,1481
1239,12390,6710
1240,12400,7587
1241,12410,5704
1242,12420,7919
1243,12430,7529
1244,12440,7795
1245,12450,7162
1246,12460,7372
1247,12470,7681
1248,12480,7783
1249,12490,7051
1250,12500,7814
1251,12510,7718
1252,12520,8193
1253,12530,8292
1254,12540,7820
1255,12550,6357
1256,12560,3026
1257,12570,5832
1258,12580,6770
1259,12590,7478
1260,12600,8002
1261,12610,7684
1262,12620,8377
1263,12630,8369
1264,12640,6944
1265,12650,7674
1266,12660,7193
1267,12670,7228
1268,12680,7686
1269,12690,8944
1270,12700,8613
1271,12710,7348
1272,12720,7822
1273,12730,7610
1274,12740,7283
1275,12750,6107
1276,12760,7817
1277,12770,8198
1278,12780,7916
1279,12790,6872
1280,12800,7597
1281,12810,7107
1282,12820,3838
1283,12830,7592
1284,12840,7497
1285,12850,7846
1286,12860,8138
1287,12870,7981
1288,12880,8181
1289,12890,8157
1290,12900,7939
1291,12910,7612
1292,12920,7852
1293,12930,8413
1294,12940,7751
1295,12950,7488
1296,12960,7703
1297,12970,7218
1298,12980,7725
1299,12990,8079
1300,13000,7097
1301,13010,7630
1302,13020,6900
1303,13030,7752
1304,13040,7777
1305,13050,7964
1306,13060,7091
1307,13070,7483
1308,13080,4781
1309,13090,7467
1310,13100,7597
1311,13110,7333
1312,13120,8359
1313,13130,8162
1314,13140,7849
1315,13150,7810
1316,13160,7201
1317,13170,7529
1318,13180,7287
1319,13190,7350
1320,13200,7839
1321,13210,5972
1322,13220,6966
1323,13230,8039
1324,13240,7569
1325,13250,7880
1326,13260,7797
1327,13270,6850
1328,13280,7710
1329,13290,7251
1330,13300,7439
1331,13310,6985
1332,13320,7635
1333,13330,6723
1334,13340,7396
1335,13350,8246
1336,13360,7819
1337,13370,7998
1338,13380,7757
1339,13390,7823
1340,13400,3109
1341,13410,7564
1342,13420,6926
1343,13430,7155
1344,13440,7354
1345,13450,8113
1346,13460,7978
1347,13470,8204
1348,13480,7516
1349,13490,7376
1350,13500,7888
1351,13510,8161
1352,13520,7603
1353,13530,7518
1354,13540,7260
1355,13550,7531
1356,13560,7256
1357,13570,7968
1358,13580,8464
1359,13590,7822
1360,13600,7965
1361,13610,8405
1362,13620,8141
1363,13630,7421
1364,13640,7273
1365,13650,7720
1366,13660,7643
1367,13670,7338
1368,13680,8094
1369,13690,7555
1370,13700,3157
1371,13710,6539
1372,13720,7452
1373,13730,5681
1374,13740,1762
1375,13750,5373
1376,13760,6601
1377,13770,7526
1378,13780,6933
1379,13790,7010
1380,13800,8182
1381,13810,8030
1382,13820,7560
1383,13830,7592
1384,13840,7667
1385,13850,7107
1386,13860,7484
1387,13870,7162
1388,13880,7010
1389,13890,6391
1390,13900,7703
1391,13910,6303
1392,13920,7422
1393,13930,8181
1394,13940,7897
1395,13950,7712
1396,13960,4687
1397,13970,7721
1398,13980,6861
1399,13990,7534
1400,14000,7278
1401,14010,6770
1402,14020,7544
1403,14030,2615
1404,14040,6646
1405,14050,6943
1406,14060,7444
